Place,Abstellplatz
"Add Place","Abstellplatz hinzufügen"
"Leave parcel","Abstellgenehmigung erteilen"
"With the order you give %1 the permission to deposit the shipments addressed to you in a place specified by you (for example, garage, gazebo, covered terrace, neighbors), without you signing for the receipt of the shipment (s).","Mit dem Auftrag erteilen Sie %1 die Erlaubnis, die an Sie adressierten Sendungen an einem von Ihnen angegebenen Ort (z.B. Garage, Gartenlaube, überdachte Terrasse, Nachbarn) zu hinterlegen, ohne dass Sie für den Erhalt der Sendung(en) unterschreiben."
"Where to leave","Ablageort wählen"
"E.g .: greenhouse, storage location with access code","z.b.: Wintergarten, Ablageort mit Zugangscode"
"Your comment","Ihr Kommentar"
Other,Sonstige
"Leave at:","Ablageort:"
Comment:,Kommentar:
Comment,Kommentar
"Show custom variant field","Benutzerdefinierte Feld anzeigen"
